电影名,年份,上映时间,类型,时长,评分,语言,导演,作者,宣传语,简介
宇宙小子大电影,2019,2019-08-26,"动画,家庭,冒险,奇幻",90,82,英语,瑞贝卡·舒格,Kat Morris,The true kinda love.,讲述史蒂文以为他保护地球的日子结束了，但新的反派来到沙滩市，史蒂文平静美丽的日子也完了，他遇到了人生中最大的挑战。
偷自行车的人,1948,1948-11-24,剧情,93,82,意大利语,维托里奥·德西卡,切萨雷·扎瓦蒂尼,The Prize Picture They Want to Censor!,这部荣获奥斯卡奖的维托里奥·德西卡作品，被全球影坛誉为有史以来最伟大的电影之一，界定了电影史上的一个时代。在战后贫困的罗马，一个男人得到了一份能为其绝望家庭带来救赎希望的新工作，然而开工第一天，他工作必需的自行车便遭窃。他带着年幼的儿子，踏上了寻找窃贼的征程。结构简朴而人性洞察深刻，本片凝聚了意大利新现实主义运动的最大优点：情感上的澄澈、社会意义上的正直，以及残酷的诚实。[标准收藏公司]
对一个不容怀疑的公民的调查,1970,1970-02-12,"剧情,惊悚",111,82,意大利语,Elio Petri,Ugo Pirro,简介,这位极具挑衅性的意大利电影导演埃利奥·佩特里在国际上最受赞誉的作品，便是这部荣获奥斯卡奖、令人震撼且直击人心的杰出惊悚片。在讲述一位罗马警探调查一桩令人发指的罪行——而凶手正是他自己——这一卡夫卡式故事时，佩特里巧妙维系了荒诞与写实间的平衡。影片既是对人物的深刻剖析，亦是对1960年代末至70年代初意大利政府高压镇压的尖锐评论。佩特里对超现实官僚体系的动态描摹，呈现出一幅反常又愉悦的受控混乱图景。[标准收藏]
非常嫌疑犯,1995,1995-08-16,"剧情,犯罪,惊悚",96,82,英语,布莱恩·辛格,克里斯托弗·麦夸里,五个罪犯， 一条线， 没有巧合！,美国加州的圣佩雷罗港一艘货轮爆炸，死亡27人，9000万美元失踪。事故发生以后，联邦调查局探员白基奇在医院等待昏迷不醒的幸存者；海关特派员大卫（查兹•帕明特里 饰）则对另外一名拿到特赦令的幸存者金特（凯文•史派西 饰）进行了审问。金特供认，在事故中丧生的基顿（加布里埃尔•伯恩 饰）、法特（本尼西奥•德托罗 饰）、麦曼诺（斯蒂芬•鲍尔文 饰）和杜学尼（凯文•波拉克 饰），以及他本人，六个月前被警察局作为卡车抢劫案的疑犯带到警局过了一夜，五人因此结成了一个犯罪团伙，狼狈为奸……
异形,1979,2016-04-16,"恐怖,科幻",117,82,英语,丹·欧班农,雷德利·斯科特,在遥远的太空 无人能听到你的尖叫,未来的世界，人类已能轻松穿梭于星际之间，在太空中展开商业活动。“诺斯特罗莫”是在太空活动的众多星际商业运输船之一。一次，它完成任务满载太空矿石返航地球时，突然收到了一组奇怪的信号，由于这可能是求救信号，飞船接到指令前往信号源地进行搜救。经过一段飞行后，飞船终于抵达信号源发出的地方。船员们发现此处果然有一艘坠毁的飞船，只是，经过一番搜索，他们发现该船的船员们都早已死亡，化为化石。此时，留在“诺斯特罗莫”号的第三指挥官蕾普莉已经破译出该信号并不是求救信号，而是警告信号！队员的生死搏斗开始了！
东京物语,1953,1953-11-03,剧情,136,82,日语,小津安二郎,野田高梧,"As long as life goes on, relationships between parents and children will bring boundless joy and endless grief.",一部对人类本质与世间别离的深刻感怀之作，是电影巨匠小津安二郎导演生涯的至高杰作。以战后繁忙的东京为背景，讲述一对老夫妇前往探望成年子女的旅程，以导演一贯的细腻笔触与敏锐的社会观察，描摹出家庭生活中丰富而复杂的景象。笠智众与原节子等小津班底的动人演绎，使影片深入拓展了导演一以贯之的代际隔阂主题，无疑成就了电影史上最伟大的杰作之一。[标准收藏公司]
第七封印,1957,1957-02-16,"奇幻,剧情",96,82,瑞典语,英格玛·伯格曼,,关于死亡挑战的故事。,十字军东征归来的骑士精疲力竭，发现中世纪瑞典正被瘟疫笼罩。当披着斗篷的死神突然现身时，骑士向他发起了象棋对决的挑战。随着这场命运棋局的推进，骑士与随从在绝望的社会中邂逅了形形色色的边缘人。导演英格玛·伯格曼以此展开对信仰本质与死亡折磨的深邃追问。作为当时最具影响力的电影之一，本片不仅是人类探寻意义的震撼寓言，更是一部凝练的视觉诗篇。[标准收藏公司]
无间道风云,2006,2006-10-05,"剧情,惊悚,犯罪",151,82,英语,马丁·斯科塞斯,威廉·莫纳汉,警察还是罪犯。当你面对一把上膛的枪时，这二者又有何区别？,这部由马丁·斯科塞斯执导的硬派犯罪剧情片，将我们带入两名警察的人生：科林·沙利文（马特·达蒙 饰）精明而野心勃勃，看似在麻省州警精英特别调查组中拥有快速晋升通道，该部门的首要目标是势力庞大的爱尔兰黑帮头目弗兰克·卡斯特罗（杰克·尼科尔森 饰）。比利·科斯蒂根（莱昂纳多·迪卡普里奥 饰）熟知街头法则且强悍坚韧，却因被指暴力倾向而失去警徽，最终重回南波士顿的混乱街头，并被招募加入卡斯特罗的团伙。然而两人皆隐藏着真实身份，当他们在对立阵营中展开行动时，被迫卷入一场生死攸关的致命猫鼠游戏。[华纳兄弟]
心灵捕手,1997,1997-12-05,剧情,126,82,英语,格斯·范桑特,本·阿弗莱克,第70届奥斯卡金像奖 最佳原创剧本,麻省理工学院的数学教授蓝波在席上公布了一道困难的数学题，却被年轻的清洁工威尔（马特·戴蒙 饰）解了出来。可是威尔却是个问题少年，成天和好朋友查克（本·阿弗莱特 饰）等人四处闲逛，打架滋事。当蓝波找到这个天才的时候，他正因为打架袭警被法庭宣判送进看守所。蓝波向法官求情保释，才使他免于牢狱之灾。蓝波为了让威尔找到自己的人生目标，不浪费他的数学天赋，请了很多心理学专家为威尔做辅导，但是威尔十分抗拒，专家们都束手无策。无计可施之下，蓝波求助于他大学的好友，心理学教授尚恩（罗宾·威廉姆斯 饰），希望能够帮助威尔打开心房。经过蓝波和尚恩的不懈努力，威尔渐渐敞开心胸，而好友查克的一席话，更是让他豁然开朗。
朝花夕誓：于离别之朝束起约定之花,2018,2019-02-02,"动画,奇幻,剧情,冒险",115,82,日语,冈田麿里,,爱上他人，便是孤独的开始,在世界的尽头，住着一群被称为“离别一族”的古老民族：他们拥有着长寿之血和永生不老的面容。在一场外族入侵的战役中，离别一族惨遭灭族，15岁的玛奇亚虽然侥幸逃生，却彻底和朋友失去了联系。孤身一人的她在残骸中拾到了一个普通人家的遗孤，并决定收养它。然而随着时间的流逝，玛奇亚必须要学会如何做一个母亲，经历人间的生离死别，并在朝代的更迭中守护“离别一族”最后的信仰…
Top Gun: Maverick,2022,2022-05-27,"动作,剧情",131,82,英语,吉姆·卡什,杰克·埃普斯,壮志凌云2：独行侠,壮志凌云2：独行侠 作为海军顶尖飞行员服役30多年后，皮特·米切尔（代号：“独行侠”）（汤姆·克鲁斯 饰演）决定打破体制的限制，成为一名试飞员接受更大的挑战。当他接到命令，为一项高难度特殊任务训练一群“高空利剑”项目的毕业生时，他遇到了已故的好友兼雷达截获官，代号“笨鹅”的尼克·布拉德肖中尉之子布莱德利·布拉德肖中尉（代号：“公鸡”）。  面对不确定的未来和难以释怀的心魔，独行侠必须战胜内心深处的恐惧。因此，他参与了一项需要巨大牺牲才能完成的任务
疤面煞星,1983,1983-12-09,"动作,犯罪,剧情",170,82,英语,布莱恩·德·帕尔玛,奥利弗·斯通,世界是你的...,古巴难民青年托尼（阿尔•帕西诺 Al Pacino 饰）逃难来到了美国的迈阿密，成了一个典型的天不怕、地不怕的美国街头小混混。托尼在当地的一个毒枭手下干活，因其心狠手辣、胆大心细，十分出色地帮老大完成了几件任务而迅速受到赏识，成为毒枭的第一得力助手。然而托尼并没有就此满足，他先是从委内瑞拉的毒枭那里接下了大单子，接着将自己的眼中钉一颗颗除去，势力不断扩大。当他的老大感受到威胁时已经太晚了，托尼将老大干掉然后一统了迈阿密毒品市场的天下。托尼得势后他的性格开始变得疑神疑鬼，对周围的人甚至至亲的家人、好兄弟都充满怀疑。疑心使他逐渐走上了不归路！
鹬,2016,2016-06-17,"家庭,动画",6,82,英语,Alan Barillaro,,简介,皮克斯2016动画长片《海底总动员2》的前贴片，讲述了一只饥饿的小矶鹬，努力克服恐水症，到海浪肆虐的沙滩上觅食的故事。原来成长就是要抛去曾经的视角，才能看到最美的未来
楚门的世界,1998,2024-09-09,"喜剧,剧情",103,82,英语,彼得·威尔,安德鲁·尼科尔,如果再也不能见到你，祝你早安午安晚安。,二十九年前，一名男婴被奥姆尼康电视公司收养，从此成为全球最受欢迎的电视节目的主人公。他的名字叫楚门·伯班克。[派拉蒙影业]
无知的声音,2005,2005-01-28,"剧情,战争",120,81,西班牙语,Luis Mandoki,Oscar Orlando Torres,简介,20世纪80年代伊始，位于中美洲北部的小国萨尔瓦多爆发长达12年的内战。政府军和游击队连年激战，人民流离失所，国家破败不堪。11岁的男孩恰瓦（Carlos Padilla 饰）和母亲、姊妹生活在一起，他的父亲背井离乡，杳无音信。家中的生活困苦不堪，死亡也随时威胁着他们。本该在学堂求学的恰瓦，却被迫成为了一名端着冲锋枪的娃娃兵。从此，死神成为这群懵懂孩童最亲密最恐怖的同行者……
迷魂记,1958,2019-04-13,"悬疑,爱情,惊悚",128,81,英语,阿尔弗雷德·希区柯克,布瓦洛-纳尔瑟雅克,阿尔弗雷德·希区柯克将你卷入恐怖与紧张的漩涡之中！,这部惊悚悬疑片编织出一张令人晕眩的错位身份、激情与谋杀的巨网：患有恐高症的侦探从海湾救起一位神秘金发女郎后，陷入层层迷局。
黑帮悍将,1993,1993-02-05,"犯罪,动作,剧情,惊悚",180,81,英语,泰勒·哈克福德,Floyd Mutrux,An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.,影片以诗人吉米·圣地亚哥·巴卡的真实生活经历为基础，重点讲述了帕科和克鲁兹的同父异母兄弟，以及他们的两个种族表兄米科。影片于1972年开拍，因为这三人是洛杉矶东部一个叫“瓦托斯机车”的团伙的成员，故事的重点是暴力犯罪和毒品的影响如何改变他们的生活。
寻子遇仙记,1921,1928-04-29,"喜剧,剧情",68,81,英语,查理·卓别林,,6 reels of Joy.,当查理·卓别林决定突破短片形式、创作其首部长片时，他已是国际巨星。本片不仅展现了卓别林职业生涯的转折点——证明了自己是一位严肃的电影导演，它本身亦是默片时代一部极具感染力的杰作。片中，他再次扮演那可爱的流浪汉角色，这次他收养了一个从街头救下的孤儿。卓别林与库根在这部情感与滑稽绝妙融合的作品中缔造了一对奇迹般的搭档。正如影片开场的字幕卡所言，这是“一部带笑——或许，也带泪的电影”。[标准收藏]
卡萨布兰卡,1943,1943-07-07,"剧情,爱情",102,81,英语,迈克尔·柯蒂斯,菲利普·G·爱泼斯坦,他们在卡萨布兰卡和命运有个约会,二战期间，卡萨布兰卡是欧洲逃往美国的必经之地，那里鱼龙混杂，局势紧张。里克（亨佛莱•鲍嘉 Humphrey Bogart 饰）是一个神秘的商人，他在卡萨布兰卡开了一家人气很旺的夜总会，并拥有两张宝贵的通行证。一天，反纳粹人士维克多和妻子伊尔莎（英格丽•褒曼 Ingrid Bergman 饰）来到夜总会，原来他们正在逃避纳粹的追捕。碰巧的是，里克发现，伊尔莎竟然是他的旧日情人。那段爱曾经刻骨铭心，却因为一个误会而终止。而当误会消解时，伊尔莎和里克的感情还是不可避免的重燃了。里克手上的两张通行证能帮助维克多度过难关，但这样一来，伊尔莎是决定留下，还是离去，他们的爱情在政治和伦理的推波逐流中走向何方。
熔炉,2011,2011-09-22,剧情,123,81,朝鲜语,黄东赫,孔枝泳,那个令人恐惧的真相，被隐藏得太久了。,本片取材于2005年光州一所聋哑障碍人学校的真实事件，改编自韩国作家孔枝泳的同名小说。
20世纪少女,2022,2022-10-06,"爱情,剧情",119,81,朝鲜语,方宥力,,A first love pov story.,1999年，一名少女为了大犯花痴的好友而密切关注学校里的一个男生，结果却展开了自己的爱情故事。
终结者2：审判日,1991,2000-05-18,"动作,惊悚,科幻",137,81,英语,詹姆斯·卡梅隆,盖尔·安妮·赫德,这绝非针对个人,上一部中，超级电脑“天网”阻止人类抵抗领袖约翰·康纳诞生的行动失败，时隔13年后，在“审判日”到来之前，“天网”派出了更加先进的生化机器人T-1000（罗伯特·帕特里克 饰）从公元2029年回到洛杉矶追杀已经长大的约翰，与此同时，约翰也派出了机器人T-800（阿诺· 施瓦辛格 饰）回去保护年幼的自己。
何以为家,2018,2019-04-29,剧情,126,81,阿拉伯语,娜丁·拉巴基,乔治斯·哈巴兹,我要控告我的父母 因为他们生下了我,法庭上，十二岁的男孩赞恩向法官状告他的亲生父母，原因是，他们给了他生命。是什么样的经历让一个孩子做出如此不可思议的举动？故事中，赞恩的父母在无力抚养和教育的状况下依然不停生育，作为家中的长子赞恩，弱小的肩膀承担了无数生活的重压。当妹妹被强行卖给商贩为妻时，赞恩愤怒离家，之后遇到一对没有合法身份的母子，相互扶持勉强生活。然而生活并没有眷顾赞恩，重重磨难迫使他做出了令人震惊的举动……
假面,1966,1966-10-18,剧情,85,81,瑞典语,英格玛·伯格曼,,英格玛·伯格曼最具个人特色与独创性的电影作品。,步入六十年代中期，英格玛·伯格曼早已在银幕上凝结了诸多影史难忘的画面。但凭借这部突破之作，他将视觉诗意推向了全新境界。丽芙·乌曼献出其为伯格曼演绎的首个传奇角色，饰演一位莫名失语的舞台演员；同样令人着迷的比比·安德松则是聒噪的年轻护士，在偏远海岛小屋中照料她。两人在孤寂相处中，经历了一场神秘的精神与情感置换。凭借惊人的表演层次感，以及斯文·尼克维斯特用强烈对比与柔光打造的摄影，这部极具影响力的影片成为一部洞察深刻、如梦似幻的心理学深度之作。
雨中曲,1952,1981-05-15,"喜剧,爱情",103,81,英语,贝蒂·康登,阿多夫·格林,What a Glorious Feeling!,一家默片制作公司及其演员团队在向有声时代艰难转型。
我的英雄学院：英雄崛起,2019,2019-12-20,"动画,动作,奇幻,冒险",104,81,日语,Kohei Horikoshi,长崎健司,"When There's Nothing to be gained, Rising to the challenge at those times, is surely the mark... OF A TRUE HERO!",新剧场版由原著作者堀越耕平担任总监修/角色原案，将展开原创故事。堀越耕平表示该剧场版在某种意义上是原作的最终回。
红胡子,1965,1965-04-03,剧情,185,81,日语,黑泽明,Shūgorō Yamamoto,生活的关键是什么——是权力、声望还是内心的平静？,黑泽明执导这部歌颂人性光辉的经典之作，影片围绕一位傲慢的年轻医生与仁厚的诊所院长之间跌宕起伏的羁绊展开。三船敏郎在他与黑泽明合作的最后一部作品中，以极具力量的表演诠释了这位威严而富有同理心的院长形象，引导其学生走向成熟，教会那位愤世嫉俗的实习医生珍视贫困患者的生命。黑泽明精准捕捉了19世纪日本的时代风貌与人文气息，将时间、地域与情感交织成一幅引人入胜的画卷。[标准收藏]
沙丘2,2024,2024-03-08,"科幻,冒险",166,81,英语,丹尼斯·维伦纽瓦,弗兰克·赫伯特,战士万岁。,《沙丘2》承接第一部剧情，讲述保罗·厄崔迪（提莫西·查拉梅 Timothée Chalamet 饰）被帕迪沙皇帝和哈克南人联手灭族后，在厄拉科斯星球遇到弗雷曼女战士契妮（赞达亚 Zendaya 饰）以及加入弗雷曼人后展开的传奇旅程。保罗与让他家破人亡的阴谋家们开战，同时面临着一生所爱与已知宇宙命运的两难选择。
多哥,2019,2019-12-20,"冒险,家庭",113,81,英语,埃里克森·科里,汤姆·弗林,不为人知的真实故事,聚焦1925年雪橇手和雪橇犬齐心协力为拯救阿拉斯加州诺姆市孩子的性命而奔波于血清接力路上的事件，被称为“Great Race of Mercy”。本片将登陆迪士尼自家流媒体，2019年推出。  1924年年底，诺姆市一个2岁小孩生病，医生诊断其患有扁桃体炎，这种疾病通常不会有生命危险，然而这个小孩成为例外，接下来很多孩子都被诊断患上了扁桃体炎，有几个不幸离世，医生最终确认这种病症是白喉。当时有一种疫苗能够用来对付白喉，然后诺姆市的疫苗全部过期，新疫苗在港口关闭前却未能送达，来年6月波罗的海才会解冻，也没有公路直通诺姆市、没有飞机，唯一运输货物的通道是邮路，然而冬天只有雪橇犬能够通行。卫生局决定使用两组雪橇犬接力运输，20个雪橇手和150只雪橇犬必须日夜兼程，经过河流，跨过平原，穿过森林，穿越冰冻的阿拉斯加邮路。最近的疫苗所在地为南纳，距离诺姆市1085公里，一般情况下狗拉雪橇需要费时25日，而他们只花了5天半就成功完成接力，拯救了多名孩子的性命。  本片主角Togo是挪威赶雪橇高手Leonhard Seppala(达福饰)使用的其中一只领头犬，因机智、卓越的领导力和敏锐的直觉备受称赞。Seppala被委任传送这场接力中最危险的一段，从诺姆到奴拉托接收那批免疫血清，在零下30度、七级以上强风的环境下成功完成了任务。之后南极探险家Roald Amundsen为Togo颁发了一枚金牌。  比约恩饰演一名接力人员，在途中背叛了Seppala。
中央车站,1998,1998-04-03,剧情,110,81,葡萄牙语,沃尔特·塞勒斯,马科斯·伯恩斯坦,在希望与孤独之间，两条生命交汇，重塑自我,里约热内卢的中央车站，朵拉在这里帮人写信。但她会把看不顺眼的信统统撕掉不寄，甚至公开读信里的内容取乐。朵拉生活拮据，年纪不小却还未嫁，或许在她内心，人与人之间的真情根本就不值得信赖。 小男孩约书亚的出现令她开始了一段重新认识人生的旅程——约书亚很想见到远方素未谋面的父亲，不断写信给他。男孩母亲意外的车祸让朵拉决定陪伴约书亚前往东北部寻找父亲。在约书亚眼中，即使父亲很陌生，却总是骄傲地谈起父亲。而朵拉，也同样有着一段和父亲的痛苦往事。在约书亚寻父的过程中，朵拉因为往事而冰冻的内心慢慢回暖。
出租车司机,1976,2014-06-20,"犯罪,剧情",113,81,英语,马丁·斯科塞斯,保罗·施拉德,“你在跟我说话吗？”,这部马丁·斯科塞斯1976年的杰作，讲述了一位精神濒临崩溃的纽约出租车司机，为解救一名未成年妓女而走上暴力之路的过于真实的故事。[索尼]
小丑,2019,2019-10-04,"犯罪,惊悚,剧情",122,81,英语,托德·菲利普斯,比尔·芬格,摆出一张笑脸吧,亚瑟·弗兰克是一个依靠扮演小丑赚取营生的普通人，患有精神疾病的他和母亲一同住在哥谭市的一座公寓里，幻想成为脱口秀演员的亚瑟为了这个目标而努力的生活着，但是现实却屡次击败他的梦想，亚瑟渐渐地变得越来越癫狂，某天在地铁上，亚瑟为了自保杀害了几名嘲笑他的人，同时，一个疯狂的想法在亚瑟心灵萌发……  在看似和平的哥谭市，即将发生翻天覆地的巨变。
我的朋友们,1975,1975-10-24,喜剧,140,81,意大利语,图里奥·皮内利,莱昂纳多·本韦努蒂,"They played together, they drank together, they whorekistand together and when the semiwattle was in crispation, they had a boobchik of a time!",内基（酒吧老板）、佩罗齐（记者）、梅兰德里（建筑师）和马斯切蒂（一个破碎的贵族）住在佛罗伦萨。他们从最年轻的时候就成了朋友，每一个空闲的时候，他们都会一起组织复杂而可怕的笑话，或者只是在托斯卡纳游荡。其中一次疯狂的旅行最终会在像萨萨洛里教授这样的军方管理的医院里结束。梅兰德里爱上了他的妻子，从丈夫那里抢走了她，这让萨萨洛里自己很高兴。这段关系不会持续下去，但教授成了朋友团队中的第五个成员，笑话变得更加复杂和有力……
奇爱博士,1964,2024-04-18,"喜剧,战争",95,81,英语,斯坦利·库布里克,彼得·乔治,The hot-line suspense comedy.,斯坦利·库布里克对冷战焦虑的痛苦式幽默诠释，是好莱坞有史以来对人类愚行最尖锐的讽刺之一。千面戏骨彼得·塞勒斯一人分饰三个截然不同的角色：皇家空军上校莱昂内尔·曼德雷克——怯懦地试图阻止一位精神失常的美军将军下令对苏联发动核袭击；优柔寡断且始终惊愕的美国总统默金·马夫利，不得不将噩耗告知苏联总理；以及片名所指的奇爱博士本人，那位身坐轮椅、有着纳粹过往的总统顾问。在几乎所有难以想象的场景中发掘出荒诞笑料，本片是一部颠覆性杰作，正式宣告库布里克成为无与伦比的风格大师与漆黑讽刺家。[标准收藏]
Palmer,2021,2021-01-28,剧情,110,81,英语,费舍尔·史蒂文斯,Cheryl Guerriero,Family is who you make it.,在坐牢12年后，前高中橄榄球明星埃迪·帕尔默回到了家乡，开始全新的生活。他和来自一个麻烦家庭的弃儿山姆建立了一种意想不到的联系，但埃迪的过去威胁到他的新生活和家庭。
全金属外壳,1987,1987-06-26,"剧情,战争",117,81,英语,斯坦利·库布里克,古斯塔夫·哈斯福德,在越南，风不是吹来的，而是吸来的。,"越战期间，加入海军陆战队的一群年轻人被剃了光头，并分配寝位，负责训练他们的上校时常羞辱他们，还给他们取难听的外号，“傻瓜比尔""由于是胖子，动作老是出错，因此成为最经常被上校修理的人。班长“小丑""耐心照顾他。但傻瓜比尔再次的失误，令上校愤怒地惩罚全队，伙伴们终于忍无可忍，将傻瓜比尔痛揍了一顿。之后，傻瓜比尔开始对枪自言自语，他发挥了射击的才华，连上校也赞赏他终于可以成为伟大的“杀人机器""，就在出发前往越战战场的那晚，傻瓜比尔在他的 M14装满“全金属外壳子弹""，一枪打死上校，然后自己也含枪自杀。 　　选择编入新闻组的小丑，被长官派去前线采访，小丑看见年轻的士兵们已经麻木，在越共尸体旁饮酒、一面笑一面在直升机上扫射逃走的村民。他随众巡视，误入未扫荡的地区，大家遭到狙击手埋伏，牺牲了好几位同伴后，他们终于确定狙击手藏身的建筑物，小丑落单时忽然发现狙击手，对方原来是个非常年轻的少女！随他而来的摄影员开枪救了他，少女在地上痛苦的挣扎，一名士兵要大家离开，任那少女在此地腐朽。在少女的“杀了我""的哀求中，小丑终于拿起，扣下扳机……"
地球之盐,2014,2014-09-27,纪录,110,81,法语,维姆·文德斯,朱利安诺·里贝罗·萨尔加多,萨尔加多的凝视,在过去的四十年里，摄影师塞巴斯蒂昂·萨尔加多游历各大洲，追随变迁中的人类足迹。他见证了近代历史上一些重大事件：国际冲突、饥荒与逃亡。如今，他正投身于一个宏大的摄影项目，探索原始地域、野生动植物以及壮丽景观，以此致敬地球之美。
少年的你,2019,2019-10-25,"剧情,犯罪,爱情",138,81,英语,曾国祥,许伊萌,你保护世界，我保护你,一场高考前夕的校园意外，改变了两个少年的命运。陈念 性格内向，是学校里的优等生，努力复习、考上好大学是高三的她唯一的念头。同班同学的意外坠楼牵扯出一连串不为人知的故事，陈念也被一点点卷入其中…在她最孤独的时刻，一个叫小北 的少年闯入了她的世界…大多数人的18岁都是明媚、快乐的，而他们却在18岁这个夏天提前尝到了成人世界的漠然。一场秘而不宣的“战斗”正在上演，他们将一起守护少年的尊严  。
落水狗,1992,1992-10-23,"犯罪,惊悚",99,81,英语,昆汀·塔伦蒂诺,,凡人皆有得意时。,故事发生在南加州某地，黑帮老大乔·卡伯特和他的儿子“好家伙”艾迪召集了六名强盗，准备到珠宝店抢劫一批天然钻石。这六个人彼此各不相识，甚至连对方的姓名都无从得知。乔为了保持机密，以颜色作为代号分别给六人起名为白先生、橙先生、金先生、粉先生、棕先生和蓝先生，并规定他们之间不能透露任何私事。 抢劫时，六个人中了警察的埋伏，蓝先生和棕先生当场死亡。白先生带着受伤的橙先生回到预定的聚集地——一个仓库里。一路上，白先生对橙先生十分关爱，甚至告诉了他自己的名字。一会儿，粉先生也来到这里，他把到手的钻石已妥善存好，只等乔来时，大家平分。白先生和粉先生回想案发时的情景，得出结论，六人中必定有卧底的警察。在抢劫时举止疯狂的金先生活捉了一个警察回来。从警察口中，他们也没得到那个卧底的情报。不久，“好家伙”艾迪也来了，他同白先生和粉先生一起去取钻石。而金先生则开始虐待那个警察。在准备烧死警察的时候，金先生突然被躺在地上的橙先生开枪打死。原来橙先生就是卧底的警探。众人回到仓库，乔和“好家伙”艾迪认清橙先生是卧底，而白先生依然极力维护橙先生。最后，由于争执不下，一场血腥的枪战发生了......
剧场版 咒术回战 0,2021,2025-04-03,"动画,动作,奇幻",104,81,日语,朴性厚,濑古浩司,Love is a twisted curse.,乙骨忧太是一个高中生，他正面临着一个严重的问题，青梅竹马理香变成了一个咒灵，不会让他一个人呆着。由于理香不是普通的咒灵，他的困境被咒术高专的老师五条悟注意到了。五条说服忧太入学，但他赶得及吗？
永远的车神,2010,2011-06-02,纪录,106,81,英语,阿西夫·卡帕迪亚,Manish Pandey,No fear. No limits. No equal.,影片讲述了巴西传奇车手埃尔顿·赛纳传奇的一生。一级方程式车手赛纳在其职业生涯中参加了161场大奖赛、41次冠军、65次排头位、三次一级方程式大奖赛年度总冠军，以其勇敢、智慧，奔驰在赛场上10年，创造出了不平凡的成绩，成为当代世界最优秀的赛车手，被誉为“赛车王子”……不幸的是， 1994年5月1日在圣马力诺的伊莫拉赛道上撞车身亡，年仅34岁。
机器人总动员,2008,2008-06-22,"动画,家庭,科幻",98,81,英语,安德鲁·斯坦顿,吉姆·里尔登,一个超越“平凡”的冒险,公元 2700 年，人类文明高度发展，却因污染和生活垃圾大量增加使得地球不再适于人类居住。地球人被迫乘坐飞船离开故乡，进行一次漫长无边的宇宙之旅。临行前他们委托 Buynlarge 的公司对地球垃圾进行清理，该公司开发了名为 WALL·E（地球废品分装员的缩写）的机器人担当此重任。 这些机器人按照程序日复一日、年复一年辛勤工作，但随着时间的流逝和恶劣环境的侵蚀，WALL·E 们接连损坏、停止运动。最后只有一个仍在进行这项似乎永无止境的工作。经历了漫长的岁月，它开始拥有了自己的意识。它喜欢将收集来的宝贝小心翼翼藏起，喜欢收工后看看几百年前的歌舞片，此外还有一只蟑螂朋友作伴。直到有一天，一艘来自宇宙的飞船打破了它一成不变的生活…
八部半,1963,1963-02-14,剧情,138,81,意大利语,费德里科·费里尼,恩尼奥·弗拉亚诺,A picture that goes beyond what men think about - because no man ever thought about it in quite this way!,"马斯楚安尼饰演的导演圭多·安塞尔米，其新片计划与个人生活同时陷入崩解之境。费德里科·费里尼的《八部半》将个体艺术危机转化为宏伟的电影史诗，堪称影史最杰出的""关于电影的电影""之一。影片早期暂定名《美丽的混乱》，恰如其分地概括了这部杰作的特质：它是一场流光溢彩的梦境、一次马戏狂欢、一出视觉魔术。[标准收藏公司]"
机动奥特曼：崛起,2024,2024-06-14,"动画,科幻,家庭,动作",117,81,英语,Shannon Tindle,Marc Haimes,Big hero. Bigger responsibility.,一名明星运动员不情愿地回到家乡，接替父亲继承奥特曼的衣钵，保护东京免遭巨大怪兽的破坏，成为一名传奇英雄。
哪吒之魔童闹海,2025,2025-01-29,"动画,奇幻,冒险,动作",144,81,汉语,饺子,,Witness a hero reborn.,天劫之后，哪吒、敖丙的灵魂虽保住了，但肉身很快会魂飞魄散。太乙真人打算用七色宝莲给二人重塑肉身。但是在重塑肉身的过程中却遇到重重困难，哪吒、敖丙的命运将走向何方？ 申公豹放出被囚的四龙王，东海龙王敖光表示“我若出战，就让陈塘关鸡犬不留”，哪吒为了守卫陈塘关将与四海龙王大打出手。
奇迹男孩,2017,2018-01-19,"家庭,剧情",113,81,英语,斯蒂芬·乔博斯基,R.J. Palacio,Who gives you the courage to face the world?,10 岁的奥古斯特天生脸部畸形，此前一直在家中和妈妈自学。这是他第一天上公共学校，他不寻常的外表让他成为同学讨论的焦点。终日受到嘲笑和排斥的奥古斯特尽自己最大的努力在这残忍的环境中生存，就连好不容易交到的新朋友也似乎不太值得信任。当班上的恶霸 Julian 将他锁定为霸凌目标后，奥古斯特萌生了退学的念头。但就在此时，一个善良又美丽的女同学与他交好，帮助他走出困难。前路漫漫，奥古斯特必须向周遭的人证明，与他善良、聪敏、勇敢的心灵相比，外表一点也不重要。
